ScheduleCD|TipoSchd|NombreLayout|ejecutable|ScheduleCDPred|FecIni|HorIni|HorMaxDura|UnidadFrecCD|Estado|ValorFrecuencia|ValorFrecuenciaAdic|Predecesores|FecCreaTS|LayoutCD|TipSchdCD
2474|FLoad|PAY_CHANNEL|Frame_FLoad_TDT.py|0|13/11/2020|05:00:00|1|101|1|1|1||23/11/2020|1771|2
1853|RNTdt|GST_GT01P_PUBLICIDAD|Frame_TransformaRN.py|1852|22/04/2020|06:15:00|1|101|0|1|1||14/05/2020|1654|3
2449|RNTdt|INTREC002|Frame_TransformaRN.py|2448|13/11/2020|08:00:00|1|101|1|1|1||23/11/2020|1758|3
5626|RNTdt|TRANSITION_TRUSTONIC|Frame_TransformaRN.py|5625|08/04/2023|06:30:00|1|101|1|1|01||19/04/2023|2068|3
2603|RNTdt|IntAlt074|Frame_TransformaRN.py|2580|12/11/2020|06:00:00|1|101|1|1|01||04/03/2021|1794|3
6987|ExTdt|DITOCLI|Frame_Extractor.py|0|30/05/2024|06:00:00|1|101|1|1|1|TRAMO_0_VENTA,SPTdt|31/05/2024|811|7
2865|FLoad|ATISR1_03B|Frame_FLoad_TDT.py|2864|30/03/2021|07:00:00|1|102|1|9|09,10,11,12,13||20/04/2022|1846|2
4202|ExTdt|REPREINTAPROB|Frame_Extractor.py|4201|17/02/2022|09:00:00|1|101|1|1|1||11/03/2022|661|7
8378|RegCal|RC_MIGVTA_CAPL|Frame_EjecutaCalidad.py|7594|01/06/2025|02:00:00|1|101|1|1|1||27/06/2025|72|23
7539|FLoad|FB_RETENCIONES_MOVIL|Frame_FLoad_TDT.py|7538|16/09/2024|08:00:00|1|101|1|1|1||04/10/2024|2468|2
345|ExTdt|REORSEPE_251|Frame_Extractor.py|210|30/10/2019|00:15:00|1|101|1|1||"MOVPRODREQATN,SPTdt|MOVPRODREQSRV,SPTdt|MOVRQSRV,SPTdt|MOVRQATN,SPTdt|MAESRVDT,RNTdt"|12/11/2019|241|7
